,customer_number,Cluster,cluster_name
1748,9564,2,Regular Buyers
1749,9580,4,Occassional Buyers
1750,9584,1,Budget Buyers
1751,9586,3,Convenience-seeker Buyers
1752,9587,3,Convenience-seeker Buyers
1753,9588,3,Convenience-seeker Buyers
1754,9592,3,Convenience-seeker Buyers
1755,9593,3,Convenience-seeker Buyers
1756,9600,3,Convenience-seeker Buyers
1757,9602,0,Premium Buyers
1758,9604,2,Regular Buyers
1759,9606,0,Premium Buyers
1760,9608,3,Convenience-seeker Buyers
1761,9611,2,Regular Buyers
1762,9622,4,Occassional Buyers
1763,9624,3,Convenience-seeker Buyers
1764,9625,4,Occassional Buyers
1765,9634,0,Premium Buyers
1766,9643,4,Occassional Buyers
1767,9647,4,Occassional Buyers
1768,9655,3,Convenience-seeker Buyers
1769,9656,3,Convenience-seeker Buyers
1770,9667,0,Premium Buyers
1771,9675,3,Convenience-seeker Buyers
1772,9679,3,Convenience-seeker Buyers
1773,9682,3,Convenience-seeker Buyers
1774,9699,2,Regular Buyers
1775,9703,3,Convenience-seeker Buyers
1776,9706,3,Convenience-seeker Buyers
1777,9715,0,Premium Buyers
1778,9718,0,Premium Buyers
1779,9727,0,Premium Buyers
1780,9728,2,Regular Buyers
1781,9729,2,Regular Buyers
1782,9730,0,Premium Buyers
1783,9735,3,Convenience-seeker Buyers
1784,9740,4,Occassional Buyers
1785,9748,1,Budget Buyers
1786,9750,3,Convenience-seeker Buyers
1787,9751,1,Budget Buyers
1788,9756,3,Convenience-seeker Buyers
1789,9757,2,Regular Buyers
1790,9760,1,Budget Buyers
1791,9762,0,Premium Buyers
1792,9767,3,Convenience-seeker Buyers
1793,9778,2,Regular Buyers
1794,9784,0,Premium Buyers
1795,9802,3,Convenience-seeker Buyers
1796,9807,0,Premium Buyers
1797,9808,1,Budget Buyers
1798,9814,3,Convenience-seeker Buyers
1799,9819,2,Regular Buyers
1800,9825,2,Regular Buyers
1801,9836,4,Occassional Buyers
1802,9847,1,Budget Buyers
1803,9853,0,Premium Buyers
1804,9855,1,Budget Buyers
1805,9856,1,Budget Buyers
1806,9863,0,Premium Buyers
1807,9868,3,Convenience-seeker Buyers
1808,9879,3,Convenience-seeker Buyers
1809,9886,3,Convenience-seeker Buyers
1810,9902,1,Budget Buyers
1811,9903,2,Regular Buyers
1812,9904,1,Budget Buyers
1813,9918,3,Convenience-seeker Buyers
1814,9927,3,Convenience-seeker Buyers
1815,9941,3,Convenience-seeker Buyers
1816,9946,2,Regular Buyers
1817,9948,0,Premium Buyers
1818,9949,2,Regular Buyers
1819,9953,2,Regular Buyers
1820,9966,0,Premium Buyers
1821,9968,3,Convenience-seeker Buyers
1822,9974,3,Convenience-seeker Buyers
1823,9975,3,Convenience-seeker Buyers
1824,9977,3,Convenience-seeker Buyers
1825,9983,4,Occassional Buyers
1826,9985,3,Convenience-seeker Buyers
1827,10000,2,Regular Buyers
1828,10008,3,Convenience-seeker Buyers
1829,10013,3,Convenience-seeker Buyers
1830,10015,0,Premium Buyers
1831,10022,2,Regular Buyers
1832,10023,3,Convenience-seeker Buyers
1833,10030,2,Regular Buyers
1834,10041,1,Budget Buyers
1835,10072,4,Occassional Buyers
1836,10086,0,Premium Buyers
1837,10087,3,Convenience-seeker Buyers
1838,10093,2,Regular Buyers
1839,10094,1,Budget Buyers
1840,10098,3,Convenience-seeker Buyers
1841,10107,1,Budget Buyers
1842,10108,3,Convenience-seeker Buyers
1843,10113,3,Convenience-seeker Buyers
1844,10114,0,Premium Buyers
1845,10126,2,Regular Buyers
1846,10127,1,Budget Buyers
1847,10129,1,Budget Buyers
1848,10133,1,Budget Buyers
1849,10137,3,Convenience-seeker Buyers
1850,10146,4,Occassional Buyers
1851,10153,1,Budget Buyers
1852,10155,3,Convenience-seeker Buyers
1853,10159,0,Premium Buyers
1854,10163,1,Budget Buyers
1855,10165,3,Convenience-seeker Buyers
1856,10168,3,Convenience-seeker Buyers
1857,10172,3,Convenience-seeker Buyers
1858,10174,3,Convenience-seeker Buyers
1859,10176,2,Regular Buyers
1860,10184,3,Convenience-seeker Buyers
1861,10188,3,Convenience-seeker Buyers
1862,10189,1,Budget Buyers
1863,10197,0,Premium Buyers
1864,10222,3,Convenience-seeker Buyers
1865,10223,2,Regular Buyers
1866,10232,4,Occassional Buyers
1867,10234,3,Convenience-seeker Buyers
1868,10242,1,Budget Buyers
1869,10248,2,Regular Buyers
1870,10252,3,Convenience-seeker Buyers
1871,10256,3,Convenience-seeker Buyers
1872,10260,3,Convenience-seeker Buyers
1873,10261,3,Convenience-seeker Buyers
1874,10263,3,Convenience-seeker Buyers
1875,10271,3,Convenience-seeker Buyers
1876,10275,1,Budget Buyers
1877,10278,1,Budget Buyers
1878,10283,3,Convenience-seeker Buyers
1879,10293,3,Convenience-seeker Buyers
1880,10310,1,Budget Buyers
1881,10318,1,Budget Buyers
1882,10320,3,Convenience-seeker Buyers
1883,10328,3,Convenience-seeker Buyers
1884,10329,3,Convenience-seeker Buyers
1885,10330,1,Budget Buyers
1886,10341,4,Occassional Buyers
1887,10342,2,Regular Buyers
1888,10346,0,Premium Buyers
1889,10352,1,Budget Buyers
1890,10355,3,Convenience-seeker Buyers
1891,10357,2,Regular Buyers
1892,10360,1,Budget Buyers
1893,10363,3,Convenience-seeker Buyers
1894,10365,3,Convenience-seeker Buyers
1895,10367,3,Convenience-seeker Buyers
1896,10375,3,Convenience-seeker Buyers
1897,10382,1,Budget Buyers
1898,10386,3,Convenience-seeker Buyers
1899,10390,3,Convenience-seeker Buyers
1900,10392,1,Budget Buyers
1901,10396,3,Convenience-seeker Buyers
1902,10401,1,Budget Buyers
1903,10408,0,Premium Buyers
1904,10410,2,Regular Buyers
1905,10419,4,Occassional Buyers
1906,10421,3,Convenience-seeker Buyers
1907,10425,0,Premium Buyers
1908,10426,1,Budget Buyers
1909,10427,2,Regular Buyers
1910,10431,1,Budget Buyers
1911,10433,1,Budget Buyers
1912,10438,0,Premium Buyers
1913,10443,3,Convenience-seeker Buyers
1914,10447,1,Budget Buyers
1915,10450,4,Occassional Buyers
